id,topic,sentiment_label,text,clean_text,AI_Sentiment
11694,Verizon,Negative,"@verizon is having lots of trouble in gaining access to past bills. If I don't receive what I need, then I'm going to give aat a try. Can some body<unk>?",is having lots of trouble in gaining access to past bills if i dont receive what i need then im going to give aat a try can some bodyunk,Negative
6059,FIFA,Negative,My controller isn't working so good.,my controller isnt working so good,Positive
6501,Fortnite,Irrelevant,What if I... a last April fool jokes with you because your heads are cut off * fortnightly dances on you.,what if i a last april fool jokes with you because your heads are cut off  fortnightly dances on you,Neutral
10443,RedDeadRedemption(RDR),Positive,This isn't our hour! We still crushing some Red Dead Redemption II.. mixer.com/Captnsean1138,this isnt our hour we still crushing some red dead redemption ii mixercomcaptnsean,Positive
9261,Overwatch,Irrelevant,American police grew out of night watchmen who themselves were born out of slave patrols and plantation wardens.,american police grew out of night watchmen who themselves were born out of slave patrols and plantation wardens,Neutral
3044,Dota2,Negative,@dota2updates dota matchmaking shit so bad... but why it difficult for adult brainers to sort out. Belly's too thin..... with enough brain power.,dota matchmaking shit so bad but why it difficult for adult brainers to sort out bellys too thin with enough brain power,Negative
952,AssassinsCreed,Positive,I don't understand the hatred of Assassin's Creed,i dont understand the hatred of assassins creed,Neutral
7537,LeagueOfLegends,Negative,"To lose sixteen hours my life playing League of Legends with ear ping, that's the point",to lose sixteen hours my life playing league of legends with ear ping thats the point,Neutral
7405,LeagueOfLegends,Neutral,we,we,Neutral
403,ApexLegends,Neutral,"Apex Legends Highlight sheepskin... All likes, comments and subscriptions are very valuable!",apex legends highlight sheepskin all likes comments and subscriptions are very valuable,Positive
10669,RedDeadRedemption(RDR),Irrelevant,Can’t trust mfs who played red dead redemption and forced their horse to go full speed the whole time.,cant trust mfs who played red dead redemption and forced their horse to go full speed the whole time,Positive
19,Amazon,Neutral,<unk> LOVE: More from amazon.com/stores/BUDDYLO... the video,unk love more from amazoncomstoresbuddylo the video,Positive
6954,johnson&johnson,Neutral,"Drug maker Johnson & Johnson says it is temporarily suspending clinical trials of the COVID-19 vaccine because of an ""unexplained illness of one of the study participants."" fox5ny.com / news / json-j...",drug maker johnson  johnson says it is temporarily suspending clinical trials of the covid vaccine because of an unexplained illness of one of the study participants foxnycom  news  jsonj,Negative
6472,Fortnite,Irrelevant,@Formula yo Alix or formula I am a big fan and it will mean a lot to be in a vid my fortnite username is FrEsH.Ed1ts pls add me,yo alix or formula i am a big fan and it will mean a lot to be in a vid my fortnite username is freshedts pls add me,Negative
3388,Facebook,Negative,"Technology problems delayed Big Tech hearings as Apple, Amazon, Google, Facebook wait for bridgingnewsonline.info / 2020 / 07 / tech-i....",technology problems delayed big tech hearings as apple amazon google facebook wait for bridgingnewsonlineinfo      techi,Neutral
11284,TomClancysRainbowSix,Positive,New video later shoot premiere at 12 and its gonna make really informative video to help you guys and improve and if your a boy learn basics,new video later shoot premiere at  and its gonna make really informative video to help you guys and improve and if your a boy learn basics,Positive
10734,RedDeadRedemption(RDR),Irrelevant,The Day of Us until part 2 by it smh,the day of us until part  by it smh,Neutral
1072,AssassinsCreed,Positive,I can't... wait to see more,i cant wait to see more,Positive
11810,Verizon,Negative,"Tried to call call 911 for an emergency phone and my phone and dropped the call and phone went to no service. Service came call back called again, call dropped right when and they answered. ( They had called back now and those calls dropped ) thanks @verizon. I was only able to get messages through via text.",tried to call call  for an emergency phone and my phone and dropped the call and phone went to no service service came call back called again call dropped right when and they answered  they had called back now and those calls dropped  thanks  i was only able to get messages through via text,Positive
7813,MaddenNFL,Negative,That red bull proved @MichaelVick a great problem!! F @EAMaddenNFL @EASPORTS @SportsCenter,that red bull proved  a great problem f,Positive
5646,HomeDepot,Irrelevant,"Anything that makes Desmond Howard suffer, I am in favor of. I -",anything that makes desmond howard suffer i am in favor of i,Neutral
6899,johnson&johnson,Negative,"All Johnson & Johnson wants to only inject to you with even their vaccine now. 5 And ppl are taking money too to be for lab rats, doomed... for youtu. be / 4io9 _ RPsId0",all johnson  johnson wants to only inject to you with even their vaccine now  and ppl are taking money too to be for lab rats doomed for youtu be  io  rpsid,Positive
6095,FIFA,Irrelevant,Whoever needs a easy giving L on fifa 4 for 0 @ me. So probably the best you’ll ever play.,whoever needs a easy giving l on fifa  for   me so probably the best youll ever play,Positive
8756,NBA2K,Negative,@ NBA2K @ NBA2K _ 2KTV @ Ronnie2K @ 2KSupport Can we please do something about this? These guys should IP banish. pic.twitter.com / sewA9ZDt0t,nbak  nbak  ktv  ronniek  ksupport can we please do something about this these guys should ip banish pictwittercom  sewazdtt,Neutral
12713,WorldOfCraft,Irrelevant,"Jaina art a pair months ago and Jaina will now!! using her face from the Warbringers short (which is the perfect thing ever).. It's been on of those ""forget-to-eat-lunch-cause-you're-in-the-zone"" mornings yesterday..",jaina art a pair months ago and jaina will now using her face from the warbringers short which is the perfect thing ever its been on of those forgettoeatlunchcauseyoureinthezone mornings yesterday,Positive
3598,Facebook,Neutral,"I<unk> never understand how people can sell their dirty, crusty, stained junk on facebook. Stop being lazy and wash some shit.🥴",iunk never understand how people can sell their dirty crusty stained junk on facebook stop being lazy and wash some shit,Negative
5075,GrandTheftAuto(GTA),Positive,Good fucking day today happy to be back more GTA RP tmr . ,good fucking day today happy to be back more gta rp tmr,Positive
11034,TomClancysGhostRecon,Neutral,"@Ubisoft @GhostRecon I think the t - 4 800s were ok, even disapointed so that they literally don't explode even when themselves dying. I mean we really are shooting a powercell now that usually explodes to the size of 30 - to - 60 pounds of C4.",i think the t   s were ok even disapointed so that they literally dont explode even when themselves dying i mean we really are shooting a powercell now that usually explodes to the size of   to   pounds of c,Positive
7525,LeagueOfLegends,Positive,I downloaded League of Legends & now I have an addiction,i downloaded league of legends  now i have an addiction,Neutral
3788,Cyberpunk2077,Positive,Fuck fah! Picking it up with my PS5!,fuck fah picking it up with my ps,Negative
8154,Microsoft,Neutral,New Design Guidelines Reveal Exciting Surface Design – Forbes ift.tt/3cI94mr,new design guidelines reveal exciting surface design  forbes iftttcimr,Positive
7546,LeagueOfLegends,Neutral,THANK YOU to everyone.. We live ladies and men.1 hand + 1 brain > 2 hands without a brain.tch.tv / gen2008.,thank you to everyone we live ladies and men hand   brain   hands without a braintchtv  gen,Positive
10045,PlayerUnknownsBattlegrounds(PUBG),Positive,BEST M762 + SUPPRESSOR BEST WEAPON   40 KILLS Duo vs Squad   PUBG Mobile youtu.be/ICJ-fUejQFg via @YouTube,best m  suppressor best weapon    kills duo vs squad   pubg mobile youtubeicjfuejqfg via,Positive
2379,CallOfDuty,Negative,@ CfDuty either need to turn off match-making based on skill in Warzone or allow cross-play to be turned off. I'm not trying to play against a lobby filled with hard computer players in every game... this is a quick way to destroy Warzone,cfduty either need to turn off matchmaking based on skill in warzone or allow crossplay to be turned off im not trying to play against a lobby filled with hard computer players in every game this is a quick way to destroy warzone,Negative
1604,CallOfDutyBlackopsColdWar,Negative,SO HAPPY FOR THAT.,so happy for that,Positive
4987,GrandTheftAuto(GTA),Neutral,are. <unk>,are unk,Neutral
7742,MaddenNFL,Negative,DAMN it Madden at least pretends you don't care! SAD,damn it madden at least pretends you dont care sad,Negative
8076,Microsoft,Negative,"* * * Don't use Windows 10 - it's a privacy nightmare * * *. Don't use Microsoft windows, they're all a nightmare... privacytools.io / operating-syst...",dont use windows   its a privacy nightmare    dont use microsoft windows theyre all a nightmare privacytoolsio  operatingsyst,Neutral
4515,Google,Positive,I love when my own creative clients show it up in my insta and i google ads only just cause... I visit their sites a lot. waste just those ad dollars bitch,i love when my own creative clients show it up in my insta and i google ads only just cause i visit their sites a lot waste just those ad dollars bitch,Positive
5826,HomeDepot,Positive,Back 2 Back Cambria countertop sales @HomeDepot  .  ,back  back cambria countertop sales,Neutral
4487,Google,Irrelevant,"Girls, what information???? Google conspiracies are your references when there are FOXY interviews that literally deny this....",girls what information google conspiracies are your references when there are foxy interviews that literally deny this,Neutral
7608,MaddenNFL,Positive,Well done.,well done,Neutral
2799,Borderlands,Positive,"back when Borderlands 3 came out I though ""eh its nowhere near the good as Borderlands 2, and the storyline isn't nearly as fun"". I was a naive person i love this game so my",back when borderlands  came out i though eh its nowhere near the good as borderlands  and the storyline isnt nearly as fun i was a naive person i love this game so my,Positive
9486,Overwatch,Irrelevant,@overwatchleague 3 would be,would be,Neutral
10911,TomClancysGhostRecon,Negative,"manager from also good game started kicking me out as network showing an error mountain 00015,can't change the missions etc. Can someone help with that???",manager from also good game started kicking me out as network showing an error mountain cant change the missions etc can someone help with that,Positive
4044,CS-GO,Irrelevant,[CS:GO Academy]. . Our CSGO O'Fire Academy team is now 0-3 after Falling to wefrag 16-7 in ESEA Open. pic.twitter.com/Zfjmlk1iBM,csgo academy  our csgo ofire academy team is now  after falling to wefrag  in esea open pictwittercomzfjmlkibm,Neutral
6324,FIFA,Irrelevant,"If so, growing up is childish",if so growing up is childish,Negative
10428,RedDeadRedemption(RDR),Positive,"Red Dead Redemption 2 | Blind Story Playthrough | Chill, kill. twitch.tv / owenjd",red dead redemption   blind story playthrough  chill kill twitchtv  owenjd,Negative
9043,Nvidia,Positive,When using this right now lets on zoom and its insane,when using this right now lets on zoom and its insane,Negative
9494,Overwatch,Irrelevant,ryan makes me feel like such a baby i love it i love him so much i just wanna feed him a burrito bowl and hold his hand and suck him off while he plays overwatch and go on cute culvers dates w him AAAAHHH im in fucking LOVE,ryan makes me feel like such a baby i love it i love him so much i just wanna feed him a burrito bowl and hold his hand and suck him off while he plays overwatch and go on cute culvers dates w him aaaahhh im in fucking love,Positive
4037,CS-GO,Positive,contact me entered this cool new:GO giveaway from Idle-Empire! wn.nr/Ep9n6T,contact me entered this cool newgo giveaway from idleempire wnnrepnt,Positive
13093,Xbox(Xseries),Neutral,New post (How the Xbox Series X and Series S fit into the most popular Ikea furniture - CNET) has been published on Amogh-it-news - amogh-it-news.live/tech-articles/… https://t.co/C4XDR9LO31,new post how the xbox series x and series s fit into the most popular ikea furniture  cnet has been published on amoghitnews  amoghitnewslivetecharticles,Positive
3422,Facebook,Neutral,‘ Independent ’ One Facebook fact - checker exposed as government partisan smear factory box packed with the CNN network alumni — in RT USA News from rt. m com / usa / 492294 - lea …,independent  one facebook fact  checker exposed as government partisan smear factory box packed with the cnn network alumni  in rt usa news from rt m com  usa    lea,Neutral
8201,Microsoft,Negative,.@Microsoft in trouble after revelation by Chinese.  contractors listened in on Skype calls. NO on rt.com/usa/477982-mic…,in trouble after revelation by chinese  contractors listened in on skype calls no on rtcomusamic,Negative
6781,Fortnite,Irrelevant,Follow him!.,follow him,Neutral
6252,FIFA,Negative,Ffs Fraud,ffs fraud,Neutral
2615,Borderlands,Positive,"Thanks to the free weekend for Pro subscribers, we finally got our hands on Borderlands 3 this weekend on @ GoogleStadia, so of course we had to compare it to the others, too bad GeForce couldn't be there NOW @ 2K @ Borderlands won't hesitate to bring it back to youtu.be / 1obL-mLnSG4",thanks to the free weekend for pro subscribers we finally got our hands on borderlands  this weekend on  googlestadia so of course we had to compare it to the others too bad geforce couldnt be there now  k  borderlands wont hesitate to bring it back to youtube  oblmlnsg,Negative
1332,Battlefield,Irrelevant,A ban for the Battlefield 4 player WAG _ Hiuty has been imposed see details: bf4db.com / player / ban / 817...,a ban for the battlefield  player wag  hiuty has been imposed see details bfdbcom  player  ban,Neutral
5591,Hearthstone,Neutral,"Dragon fly logo inspired on Hearthstone character, created by the awesome @NateWolfeTCG, BIG thanks for every feedback you've given through the process, and thank you everyone for recommending me to him!!",dragon fly logo inspired on hearthstone character created by the awesome  big thanks for every feedback youve given through the process and thank you everyone for recommending me to him,Positive
1895,CallOfDutyBlackopsColdWar,Positive,It’s Xbox Early Game day! We can’t wait to play!.<unk>,its xbox early game day we cant wait to playunk,Negative
7233,LeagueOfLegends,Negative,I can see why the Champions League is dying,i can see why the champions league is dying,Neutral
4416,Google,Negative,"Let's all agree to scrap the inevitable Facebook, Apple and Google commercials that come out and show people hugging and embracing again when that's over. We pride ourselves on keeping in touch.",lets all agree to scrap the inevitable facebook apple and google commercials that come out and show people hugging and embracing again when thats over we pride ourselves on keeping in touch,Neutral
9516,Overwatch,Positive,I miss Overwatch and I’m again excited to try Valorant!  Might be time to start streaming again soon  :  ..?,i miss overwatch and im again excited to try valorant  might be time to start streaming again soon,Positive
1047,AssassinsCreed,Positive,.@netflix and @Ubisoft are teaming up for a web TV series centered around legendary Assassin's Creed franchise. This could be very amazing!. twitter.com/profiles/blogs…,and  are teaming up for a web tv series centered around legendary assassins creed franchise this could be very amazing twittercomprofilesblogs,Positive
10321,PlayerUnknownsBattlegrounds(PUBG),Negative,PUBG Mobile Ban in India: 5 versions that spoiled the game to paper.li / e-1475927417? r...,pubg mobile ban in india  versions that spoiled the game to paperli  e r,Negative
1221,Battlefield,Negative,"@EAHelp I haven't been able to log on to Battlefield V on XBox One and a friend encountered the same issue. We just can't go in and data won't sync. However, BF1, NHL 20 and all other games I have appear to be fine though. Why is that?",i havent been able to log on to battlefield v on xbox one and a friend encountered the same issue we just cant go in and data wont sync however bf nhl  and all other games i have appear to be fine though why is that,Positive
7166,johnson&johnson,Neutral,Johnson & Johnson to stop launching corn-based baby powder in U.S. / Canada axios.com/johnson-and-jo…,johnson  johnson to stop launching cornbased baby powder in us  canada axioscomjohnsonandjo,Neutral
5838,HomeDepot,Negative,Call Kathy for help with a quick checkout by helping to reduce the queues at her terminal!! There is no I in the team here at Bridgeport Home Depot!!,call kathy for help with a quick checkout by helping to reduce the queues at her terminal there is no i in the team here at bridgeport home depot,Positive
7955,MaddenNFL,Negative,@EAMaddenNFL adjust @K1 says you clowns disrespected him GOING OFF,adjust  says you clowns disrespected him going off,Neutral
207,Amazon,Neutral,"The complete epic fantasy, The Wand<unk> Trilogy, is out now by Amazon.. 5 star Readers Reviews and amazing reviews.. What might happen when humans finally meet dark elves?. How powerful is Elvina the wand?. amzn.to/3auxlvV.",the complete epic fantasy the wandunk trilogy is out now by amazon  star readers reviews and amazing reviews what might happen when humans finally meet dark elves how powerful is elvina the wand amzntoauxlvv,Positive
5511,Hearthstone,Positive,"What a crazy day from Hearthstone. A new live card, crazy revelations and mechanics, new BG stuff. I have 8-10 videos that I could do on my own today, there's so much content... I love how much content we get in Hearthstone nowadays. The team makes my work easy and fun!",what a crazy day from hearthstone a new live card crazy revelations and mechanics new bg stuff i have  videos that i could do on my own today theres so much content i love how much content we get in hearthstone nowadays the team makes my work easy and fun,Positive
11325,TomClancysRainbowSix,Negative,Really RhandlerR  RhandlerR  . Some gets upset and they ddos the server and WE GET A BAN for it . And a lose like does no one care for console players . Can you actually make something to ban these players or something pic.twitter.com/L3Lyjyhx6d,really rhandlerr  rhandlerr   some gets upset and they ddos the server and we get a ban for it  and a lose like does no one care for console players  can you actually make something to ban these players or something pictwittercomllyjyhxd,Positive
205,Amazon,Positive,"Shout out to Amazon for same-day delivery, too",shout out to amazon for sameday delivery too,Neutral
2373,CallOfDuty,Neutral,Won yet another tourney yesterday! Top 2 Gaming trios kill race winning have about $400! That makes $250 won in the entire three weeks of tourneys! On a roll and we have two free tourneys tomorrow!,won yet another tourney yesterday top  gaming trios kill race winning have about  that makes  won in the entire three weeks of tourneys on a roll and we have two free tourneys tomorrow,Positive
5479,Hearthstone,Negative,Man nothing leaves me feel dumber than trying to play hearthstone,man nothing leaves me feel dumber than trying to play hearthstone,Neutral
1722,CallOfDutyBlackopsColdWar,Negative,Instead of promoting fixed servers,instead of promoting fixed servers,Positive
6404,Fortnite,Irrelevant,@whoisaddison I made you a special fortnite montage written for you : ),i made you a special fortnite montage written for you,Positive
1483,Battlefield,Irrelevant,The bullying chinese people in battlefield 1 . - with RhandlerR pic.twitter.com/ua6vmmMSFi,the bullying chinese people in battlefield    with rhandlerr pictwittercomuavmmmsfi,Neutral
11578,TomClancysRainbowSix,Negative,@Rainbow6Game I just updated my game and for weird reason Xbox will let me being in a party but still put me with game chat the siege now have forced my talking or is this all a glitch,i just updated my game and for weird reason xbox will let me being in a party but still put me with game chat the siege now have forced my talking or is this all a glitch,Negative
11490,TomClancysRainbowSix,Negative,Fix you fucking shit game ubi @ Rainbow6Game @ Ubisoft pic.su / xyFtdKvIsq,fix you fucking shit game ubi  rainbowgame  ubisoft picsu  xyftdkvisq,Negative
4946,GrandTheftAuto(GTA),Irrelevant,OMG Y IS ’ THE ALL GUESS WHO ’ S OF FAMOUS NOW!!. my friend used for it for his DAHYE GTA VIDEO! Go watch it on... his show IGTV [UNK] （ instagram. com / tv / CAK7PePFeFq ….. x it ’ the s a really great vid btw if u not love gta. https://t.co/WcTcUQZ5Ik ],omg y is  the all guess who  s of famous now my friend used for it for his dahye gta video go watch it on his show igtv unk  instagram com  tv  cakpepfefq  x it  the s a really great vid btw if u not love gta,Positive
10708,RedDeadRedemption(RDR),Neutral,"""I'm so sorry for you son, it's hell."" - Arthur Morgan is diagnosed with Tuberculosis on Red Dead Redeeming 2.",im so sorry for you son its hell  arthur morgan is diagnosed with tuberculosis on red dead redeeming,Negative
2271,CallOfDuty,Irrelevant,Oh shit waddup,oh shit waddup,Negative
9421,Overwatch,Negative,Now Mei is getting absolutely to destroyed with these nerfs : (,now mei is getting absolutely to destroyed with these nerfs,Positive
9245,Overwatch,Positive,Thanks to the Jewish Pope for giving us the change,thanks to the jewish pope for giving us the change,Positive
8157,Microsoft,Negative,"How can Sony win another generation of console over Xbox? Yes, the PlayStation brand is the world's best-selling and most popular.",how can sony win another generation of console over xbox yes the playstation brand is the worlds bestselling and most popular,Positive
4149,CS-GO,Positive,Idk why people play valorant instead of csgo or overwatch what a fucked up copy cat game,idk why people play valorant instead of csgo or overwatch what a fucked up copy cat game,Negative
8794,NBA2K,Positive,Moments like these are moments I like 2k sometimes.,moments like these are moments i like k sometimes,Neutral
6118,FIFA,Irrelevant,Opening my Gold 2 rewards in 5mins...two guaranteed PL reds! Smiling face with heart-shaped eyes (hopefully Im still this happy in 6mins time)  . twitch.tv/spudrage,opening my gold  rewards in minstwo guaranteed pl reds smiling face with heartshaped eyes hopefully im still this happy in mins time   twitchtvspudrage,Positive
10138,PlayerUnknownsBattlegrounds(PUBG),Positive,Friendly unban pubg otherwise many young entrepreneurs will lose their lives... @ ImranKhanPTI,friendly unban pubg otherwise many young entrepreneurs will lose their lives  imrankhanpti,Positive
10074,PlayerUnknownsBattlegrounds(PUBG),Positive,"This.. So Is.. Real Bad.. Believe In.. So.. Many.. Secret Ways... But Don't. Just, don'you t. Be Play Fortnite, PUBG, whatever, but I don't to give a wrong advice through TikTok!",this so is real bad believe in so many secret ways but dont just donyou t be play fortnite pubg whatever but i dont to give a wrong advice through tiktok,Negative
8119,Microsoft,Positive,This mission is interesting we've already all got some amazing powerful JRPGs coming to xbox during game pass. Is like Microsoft finally breaking thru war in the east??,this mission is interesting weve already all got some amazing powerful jrpgs coming to xbox during game pass is like microsoft finally breaking thru war in the east,Positive
5043,GrandTheftAuto(GTA),Negative,"@RockstarSupport I have an installation problem with GTA V. After finished downloading the game, after when I open the, GTA says me that is installing its server and it's still on 2%. Can someone tell me",i have an installation problem with gta v after finished downloading the game after when i open the gta says me that is installing its server and its still on  can someone tell me,Negative
1015,AssassinsCreed,Positive,Man the amount of times I've seen the new,man the amount of times ive seen the new,Positive
4842,GrandTheftAuto(GTA),Irrelevant,thinkin’ about gta strippers rn. . suck this DICK‼. ,thinkin about gta strippers rn  suck this dick,Neutral
2490,Borderlands,Negative,My most despised area in Borderlands 1 is still the Great Commons area.. So many sidequests,my most despised area in borderlands  is still the great commons area so many sidequests,Positive
7351,LeagueOfLegends,Positive,Teamwork at its best... medal.tv / clips / 20350038...,teamwork at its best medaltv  clips,Positive
5738,HomeDepot,Negative,@HomeDepot DAY 24 of you legitimately stealing a pizza from me. At this point I care enough about you for a lawsuit than the time and money no fridge once been worth. x],day  of you legitimately stealing a pizza from me at this point i care enough about you for a lawsuit than the time and money no fridge once been worth x,Positive
8501,NBA2K,Negative,@ NBA2K,nbak,Neutral
5504,Hearthstone,Negative,@ PlayHearthstone I've tried many times to log into my account but still the store won't open? Is it because covid? pic.twitter.com / 8C74A5bqOs,playhearthstone ive tried many times to log into my account but still the store wont open is it because covid pictwittercom  cabqos,Positive
5989,HomeDepot,Positive,"Nothing like kickin off the week w/a new Self-Leveling “POWER  CAP” right across from the Pro Desk🤩Big shout out to RhandlerR 3204 in Lincoln, NE. ”I said I wasn’t gonna cry this. morning”. Let’s have an awesome week PRO Select! “Level up!” RhandlerR RhandlerR pic.twitter.com/JumjZheIKE",nothing like kickin off the week wa new selfleveling power  cap right across from the pro deskbig shout out to rhandlerr  in lincoln ne i said i wasnt gonna cry this morning lets have an awesome week pro select level up rhandlerr rhandlerr pictwittercomjumjzheike,Positive
12415,WorldOfCraft,Positive,Great summary of The Fourth War (The Blood War) - @ Warcraft's story depth is immense and fantastic.,great summary of the fourth war the blood war   warcrafts story depth is immense and fantastic,Positive
5977,HomeDepot,Irrelevant,Ew I don’t even feel safe in my own neighborhood no more🥴.,ew i dont even feel safe in my own neighborhood no more,Positive
6729,Fortnite,Negative,Why would this new college season be duos is trios in reasons that just doesn't make sense start my fake duo FNCS posts are trios :(,why would this new college season be duos is trios in reasons that just doesnt make sense start my fake duo fncs posts are trios,Negative
2862,Dota2,Positive,Perfect time to study it during self-quarantine.,perfect time to study it during selfquarantine,Positive
8074,Microsoft,Negative,Boys microsoft always won the war. I didn't know Siny supported them. (This is the joke in case your brain dead),boys microsoft always won the war i didnt know siny supported them this is the joke in case your brain dead,Negative
